window,stride,preblur,components,holes,edge_pixels,score
51,16,0.8,2,34,1309,4.01
51,16,1.0,3,27,1255,4.48
51,16,1.2,6,22,1233,4.68
51,24,0.8,3,33,1311,4.01
51,24,1.0,5,26,1262,4.39
51,24,1.2,7,23,1242,4.47
51,32,0.8,3,33,1301,4.0
51,32,1.0,3,25,1255,4.7
51,32,1.2,6,21,1241,4.81
75,16,0.8,4,28,1334,4.36
75,16,1.0,5,23,1252,4.7
75,16,1.2,9,21,1215,4.44
75,24,0.8,4,28,1320,4.35
75,24,1.0,5,22,1256,4.83
75,24,1.2,8,21,1227,4.56
75,32,0.8,3,31,1326,4.18
75,32,1.0,4,22,1270,4.97
75,32,1.2,7,19,1239,4.94
101,16,0.8,3,28,1247,4.37
101,16,1.0,4,26,1225,4.45
101,16,1.2,6,21,1164,4.74
101,24,0.8,3,27,1249,4.47
101,24,1.0,4,24,1239,4.69
101,24,1.2,6,22,1194,4.64
101,32,0.8,4,28,1258,4.29
101,32,1.0,4,27,1228,4.35
101,32,1.2,7,20,1177,4.75
